country,date,temperature_mean,temperature_max,temperature_min,precipitation,windspeed_mean,windspeed_max,evapotranspiration,solar_radiation
England,2010-01-01,-0.07,3.204,-2.296,0.78,12.446,18.648,0.267,2.652
England,2010-01-02,-1.504,1.034,-4.296,0.0,10.287,16.032,0.273,3.61
England,2010-01-03,-3.041,0.284,-5.346,0.0,8.739,12.405,0.233,3.226
England,2010-01-04,-1.283,0.834,-2.996,4.68,10.948,15.752,0.214,2.34
England,2010-01-05,-1.307,0.234,-4.906,3.9,18.421,23.126,0.282,2.806
England,2010-01-06,-5.432,-2.496,-8.406,0.0,14.033,17.353,0.274,3.764
England,2010-01-07,-4.436,-1.506,-6.776,0.3,13.567,17.861,0.292,3.802
England,2010-01-08,-3.505,-1.336,-5.376,0.0,16.999,21.607,0.409,3.914
England,2010-01-09,0.211,1.414,-2.326,1.68,19.471,22.692,0.326,1.904
England,2010-01-10,0.492,0.993,-0.296,2.72,10.663,15.806,0.167,1.302
England,2010-01-11,0.149,1.244,-0.907,0.5,17.936,23.847,0.238,1.948
England,2010-01-12,-0.056,0.584,-0.946,3.36,12.609,20.041,0.206,1.59
England,2010-01-13,0.595,2.284,-1.296,0.56,6.341,8.796,0.176,1.692
England,2010-01-14,3.526,6.664,0.294,2.34,17.802,25.542,0.193,1.196
England,2010-01-15,5.141,7.364,3.183,8.14,20.433,31.446,0.261,1.05
England,2010-01-16,4.555,7.394,2.454,0.6,14.022,19.119,0.395,3.832
England,2010-01-17,5.038,8.214,2.044,0.04,10.774,15.612,0.284,2.376
England,2010-01-18,4.27,6.094,2.464,0.0,12.281,23.358,0.257,1.816
England,2010-01-19,2.623,4.074,1.594,4.44,14.574,22.841,0.236,1.418
England,2010-01-20,2.37,4.864,0.104,0.14,11.595,22.447,0.354,2.78
England,2010-01-21,6.525,7.574,4.274,12.2,14.977,24.058,0.174,0.424
England,2010-01-22,3.978,5.604,2.124,0.18,9.379,12.584,0.294,2.41
England,2010-01-23,3.396,5.524,1.683,0.74,8.101,11.976,0.345,2.908
England,2010-01-24,2.178,3.743,0.144,0.54,10.892,16.864,0.381,2.9
England,2010-01-25,0.324,2.524,-1.856,0.0,7.714,12.39,0.399,3.692
England,2010-01-26,2.993,6.864,-0.786,0.0,16.299,24.328,0.398,2.116
England,2010-01-27,4.348,6.024,2.183,0.76,16.636,22.388,0.591,3.918
England,2010-01-28,2.721,4.934,-1.186,3.42,18.419,25.63,0.709,4.528
England,2010-01-29,-0.766,2.464,-2.796,0.1,13.702,17.575,0.821,5.784
England,2010-01-30,-0.591,3.504,-3.117,0.06,11.546,15.068,0.519,4.924
England,2010-01-31,0.864,4.374,-1.706,0.04,14.253,19.542,0.606,5.174
England,2010-02-01,4.571,7.193,0.104,5.06,19.544,26.986,0.342,1.972
England,2010-02-02,2.028,5.544,-0.977,3.16,9.62,17.357,0.373,2.834
