country,date,temperature_mean,temperature_max,precipitation,windspeed_max
England,2010-01-01,-0.07,3.204,0.78,18.648
England,2010-01-02,-1.504,1.034,0.0,16.032
England,2010-01-03,-3.041,0.284,0.0,12.405
England,2010-01-04,-1.283,0.834,4.68,15.752
England,2010-01-05,-1.307,0.234,3.9,23.126
England,2010-01-06,-5.432,-2.496,0.0,17.353
England,2010-01-07,-4.436,-1.506,0.3,17.861
England,2010-01-08,-3.505,-1.336,0.0,21.607
England,2010-01-09,0.211,1.414,1.68,22.692
England,2010-01-10,0.492,0.993,2.72,15.806
England,2010-01-11,0.149,1.244,0.5,23.847
England,2010-01-12,-0.056,0.584,3.36,20.041
England,2010-01-13,0.595,2.284,0.56,8.796
England,2010-01-14,3.526,6.664,2.34,25.542
England,2010-01-15,5.141,7.364,8.14,31.446
England,2010-01-16,4.555,7.394,0.6,19.119
England,2010-01-17,5.038,8.214,0.04,15.612
England,2010-01-18,4.27,6.094,0.0,23.358
England,2010-01-19,2.623,4.074,4.44,22.841
England,2010-01-20,2.37,4.864,0.14,22.447
England,2010-01-21,6.525,7.574,12.2,24.058
England,2010-01-22,3.978,5.604,0.18,12.584
England,2010-01-23,3.396,5.524,0.74,11.976
England,2010-01-24,2.178,3.743,0.54,16.864
England,2010-01-25,0.324,2.524,0.0,12.39
England,2010-01-26,2.993,6.864,0.0,24.328
England,2010-01-27,4.348,6.024,0.76,22.388
England,2010-01-28,2.721,4.934,3.42,25.63
England,2010-01-29,-0.766,2.464,0.1,17.575
England,2010-01-30,-0.591,3.504,0.06,15.068
England,2010-01-31,0.864,4.374,0.04,19.542
England,2010-02-01,4.571,7.193,5.06,26.986
England,2010-02-02,2.028,5.544,3.16,17.357
England,2010-02-03,5.392,7.624,0.58,21.517
England,2010-02-04,5.304,8.714,3.34,19.215
England,2010-02-05,3.888,6.964,0.02,14.731
England,2010-02-06,3.324,5.014,0.0,11.821
England,2010-02-07,1.475,3.074,0.3,24.631
England,2010-02-08,1.774,4.634,0.08,22.657
England,2010-02-09,0.434,2.754,0.08,21.628
England,2010-02-10,-0.057,3.364,0.0,20.193
England,2010-02-11,1.778,4.944,0.32,19.903
England,2010-02-12,1.74,4.214,0.16,18.443
England,2010-02-13,1.646,5.033,0.18,13.95
England,2010-02-14,2.349,5.084,2.76,16.099
England,2010-02-15,2.288,5.144,4.76,15.955
England,2010-02-16,0.327,4.144,2.8,11.924
England,2010-02-17,1.074,4.044,5.04,15.375
England,2010-02-18,0.551,4.124,0.62,15.831
England,2010-02-19,-0.823,4.004,0.18,10.539
England,2010-02-20,0.361,4.484,4.28,15.347
England,2010-02-21,0.482,3.984,2.86,26.216
England,2010-02-22,1.056,3.604,1.82,23.191
England,2010-02-23,5.004,9.134,2.5,18.135
England,2010-02-24,5.041,7.824,2.68,18.599
England,2010-02-25,4.272,5.784,8.8,31.975
England,2010-02-26,4.074,7.693,3.3,16.222
England,2010-02-27,3.822,5.604,3.66,22.489
England,2010-02-28,2.845,7.454,0.26,13.278
England,2010-03-01,2.624,7.524,0.0,11.691
England,2010-03-02,2.253,5.564,0.0,18.409
England,2010-03-03,2.437,6.593,0.0,17.741
England,2010-03-04,2.233,7.664,0.0,18.541
England,2010-03-05,2.871,5.974,0.04,16.289
England,2010-03-06,-0.737,3.224,0.0,13.196
England,2010-03-07,0.285,5.584,0.0,14.374
England,2010-03-08,3.035,7.224,0.0,17.413
England,2010-03-09,3.767,5.914,0.0,18.815
England,2010-03-10,2.629,6.443,0.0,15.381
England,2010-03-11,4.756,8.454,1.02,20.891
England,2010-03-12,4.678,8.634,0.02,18.682
England,2010-03-13,6.072,9.513,0.04,24.931
England,2010-03-14,5.821,9.364,0.14,25.814
England,2010-03-15,5.274,9.714,0.0,16.239
England,2010-03-16,8.04,12.784,0.0,20.074
England,2010-03-17,9.95,13.984,0.62,27.397
England,2010-03-18,9.607,11.454,3.42,23.826
England,2010-03-19,9.409,10.814,8.46,22.492
England,2010-03-20,7.49,12.224,0.14,17.32
England,2010-03-21,8.244,10.384,1.48,30.93
England,2010-03-22,6.469,10.914,2.36,23.466
England,2010-03-23,10.126,13.614,2.42,21.034
England,2010-03-24,10.069,12.524,8.24,25.709
England,2010-03-25,8.548,11.374,3.6,29.008
England,2010-03-26,7.861,10.724,0.7,22.075
England,2010-03-27,7.448,10.534,1.34,23.685
England,2010-03-29,7.356,10.494,6.92,21.53
England,2010-03-30,7.689,10.494,6.06,25.488
England,2010-03-31,3.662,5.374,4.5,33.29
England,2010-04-01,4.343,7.914,2.46,27.557
England,2010-04-02,5.56,8.914,4.86,25.597
England,2010-04-03,6.01,9.464,2.26,15.123
England,2010-04-04,5.372,8.874,1.18,24.172
England,2010-04-05,8.001,12.074,1.76,30.924
England,2010-04-06,9.812,13.634,0.08,29.775
England,2010-04-07,8.445,11.854,1.1,18.719
England,2010-04-08,8.017,13.263,0.0,14.9
England,2010-04-09,9.874,14.874,0.0,8.407
England,2010-04-10,10.659,16.184,0.0,10.382
England,2010-04-11,8.097,11.814,0.0,19.484
England,2010-04-12,7.436,11.814,0.12,18.07
England,2010-04-13,7.059,11.784,0.0,20.052
England,2010-04-14,7.114,10.464,0.0,20.972
England,2010-04-15,6.649,11.054,0.0,17.206
England,2010-04-16,7.677,12.014,0.0,17.011
England,2010-04-17,8.0,14.204,0.0,12.017
England,2010-04-18,8.756,14.063,0.0,13.292
England,2010-04-19,8.416,11.934,0.52,14.219
England,2010-04-20,6.883,10.634,0.0,21.703
England,2010-04-21,5.761,10.154,0.0,15.343
England,2010-04-22,6.846,12.094,0.0,10.239
England,2010-04-23,8.598,14.643,0.0,11.682
England,2010-04-24,10.739,17.264,0.0,15.776
England,2010-04-25,11.474,15.544,3.68,17.922
England,2010-04-26,11.618,15.124,0.36,18.333
England,2010-04-27,11.922,17.124,0.0,16.895
England,2010-04-28,13.571,18.764,0.16,23.168
England,2010-04-29,12.184,15.133,5.22,14.646
England,2010-04-30,10.238,13.884,3.42,21.426
England,2010-05-01,9.823,13.384,3.6,17.347
England,2010-05-02,7.522,9.634,6.74,25.471
England,2010-05-03,6.345,10.103,1.38,25.015
England,2010-05-04,7.136,10.853,0.0,17.276
England,2010-05-05,9.23,12.434,0.06,12.99
England,2010-05-06,9.685,12.204,1.62,16.117
England,2010-05-07,8.228,11.524,0.72,24.217
England,2010-05-08,7.832,9.954,1.76,26.11
England,2010-05-09,7.928,11.034,0.12,18.762
England,2010-05-10,7.13,9.824,0.82,16.128
England,2010-05-11,6.554,10.114,2.08,13.993
England,2010-05-12,6.238,10.274,1.18,12.222
England,2010-05-13,7.049,11.664,0.1,14.51
England,2010-05-14,8.484,11.554,0.04,19.228
England,2010-05-15,9.291,13.554,0.0,16.255
